Serial,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,10,253,2000,4,8,1254,2000
1,10,253,2000,4,36,2,1
2,10,253,2000,4,107,102,321
3,10,253,2000,3,38,176,641
4,10,253,2000,3,31,720,165
5,10,253,2000,3,81,18168,65100000
6,10,253,2000,3,88,36,100
7,10,253,2000,3,110,1,2
8,10,253,2000,3,97,5,15
9,10,253,2000,3,73,40,169
10,10,253,2001,4,8,1254,2061
11,10,253,2001,4,36,2,1
12,10,253,2001,4,107,83,300
13,10,253,2001,3,31,719,192
14,10,253,2001,3,81,18190,64430000
15,10,253,2001,3,88,46,100
16,10,253,2001,3,110,1,1
17,10,253,2001,3,97,11,33
18,10,253,2002,4,107,189.2,510.84
19,10,253,2002,3,8,1258,2083
20,10,253,2002,3,38,213,1278
21,10,253,2002,3,105,63,13.5
22,10,253,2002,3,31,719,208
23,10,253,2002,3,81,18240,67490000
24,10,253,2002,3,84,413,28.8
25,10,253,2002,3,88,47.3,133
26,10,253,2002,3,110,5,40
27,10,253,2003,4,107,52,90.17
28,10,253,2003,3,8,1261,1525
29,10,253,2003,3,38,266,1763
30,10,253,2003,3,105,75.5,15.86
31,10,253,2003,3,31,717,208.5
32,10,253,2003,3,81,18284.74,68580000
33,10,253,2003,3,84,60,102
34,10,253,2003,3,88,102,326.4
35,10,253,2003,3,4,4.2,0.3
36,10,253,2004,4,107,52.94,72.57
37,10,253,2004,3,8,1264.7,805.85
38,10,253,2004,3,38,66.42,404.12
39,10,253,2004,3,105,85,15.86
40,10,253,2004,3,31,683.5,197.9
41,10,253,2004,3,81,18394.7,52380000
42,10,253,2004,3,84,60,145.2
43,10,253,2004,3,88,118,366
44,10,253,2004,3,4,1,0.11
45,10,253,2005,4,107,2.09,12.06
46,10,253,2005,3,8,795.67,44
47,10,253,2005,3,38,22,582
48,10,253,2005,3,105,41,0.1
49,10,253,2005,3,31,450,55.8
50,10,253,2005,3,81,13876.57,52030000
51,10,253,2005,3,84,17,582501
52,10,253,2005,3,118,10,70
53,10,253,2006,3,8,896,477.6
54,10,253,2006,3,38,198,976
55,10,253,2006,3,105,22.16,0.68
56,10,253,2006,3,31,450,85.13
57,10,253,2006,3,81,14358,59370000
58,10,253,2006,3,84,3,9
59,10,253,2006,3,88,6,21
60,10,253,2006,3,110,0.2,0.5
61,10,253,2006,3,97,18,86
62,10,253,2006,3,73,52.03,450
63,10,253,2006,3,118,2.5,1.03
64,10,253,2010,1,107,3.5,10
65,10,253,2010,1,110,13.4,41.75
66,10,253,2010,2,8,944,1610
67,10,253,2010,2,105,23,8.5
68,10,253,2010,2,31,1000.5,260.5
69,10,253,2010,2,84,12,25
70,10,253,2010,2,88,7,9.64
71,10,253,2010,2,55,3.84,18.22
72,10,253,2010,2,44,1.5,1.1
73,10,253,2010,2,97,22,208
74,10,253,2010,2,118,2,0.5
75,10,253,2010,2,111,1.5,1.16
76,10,253,2010,3,38,593,3425
77,10,253,2010,3,81,14560,71300000
